title,company,skills,link
Data Analyst,HyreFox Consultants,"data management , stock management , systems & processes , data analysis , leadership , visualization , dashboards , security ,dataanalyst, data governance , sql programming",https://www.timesjobs.com/job-detail/sr-data-analyst-dme-hyrefox-consultants-jaipur-7-to-10-yrs-jobid-Npbw__SLASH__1kgn1xzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,genxlead retail pvt ltd,"exploratory data analysis , data preparation , handling large datasets , machine learning , statistical modeling ,dataanalyst, data science",https://www.timesjobs.com/job-detail/designation-data-analyst-genxlead-retail-pvt-ltd-chennai-2-to-3-yrs-jobid-8XkhRsiQJJ9zpSvf__PLUS__uAgZw==&source=srp
Data Analyst,alliance recruitment agency,"data analysis ,dataanalyst, vba , business consulting , analyst",https://www.timesjobs.com/job-detail/data-analyst-python-alliance-recruitment-agency-switzerland-2-to-8-yrs-jobid-q8__PLUS__M1wojg__PLUS__FzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,grazitti interactive,"business requirements , bi , dashboards , sql , data analysis , sas ,dataanalyst",https://www.timesjobs.com/job-detail/business-data-analyst-analytics-grazitti-interactive-mohali-panchkula-2-to-5-yrs-jobid-NAWWx__PLUS__HYxnxzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,IRT Computer Solutions  ( I )  Pvt Ltd,"tableau , qlik sense , bi , report builder ,dataanalyst",https://www.timesjobs.com/job-detail/data-analyst-power-bi-irt-computer-solutions-i-pvt-ltd-hyderabad-secunderabad-chennai-4-to-7-yrs-jobid-dV__PLUS__J08tAoipzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,IQVIA,"data analysis , spatial data , geography concepts , python , sql , advanced analytics , consulting ,dataanalyst, data science , data governance",https://www.timesjobs.com/job-detail/geography-data-analyst-iqvia-australia-3-to-5-yrs-jobid-__PLUS__h7K6X6tWMtzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Orange Business Services,"data analysis , process optimization , communication skills , statistical techniques , data visualization , bi , spss , product roadmap , user stories , dashboards , sql , data analytics , business analytics , data reports ,dataanalyst, data cleaning",https://www.timesjobs.com/job-detail/data-analyst-senior-orange-business-services-pune-2-to-6-yrs-jobid-7vi03fpua5FzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Sigmoid,"data analytics , data visualization , business intelligence , statistical / ml techniques , team management , san , advanced analytics , spotfire , bi ,dataanalyst, tableau , data science , client interaction , sql database",https://www.timesjobs.com/job-detail/senior-data-analyst-sigmoid-bengaluru-bangalore-3-to-6-yrs-jobid-4vdzyvpu__PLUS__LNzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Clarivate Analytics,"data analysis , sql , data visualization , ms office , english proficiency , dashboards , security , director ,dataanalyst, tableau , infrastructure",https://www.timesjobs.com/job-detail/senior-data-analyst-clarivate-analytics-5-to-8-yrs-jobid-SUaSduOSPK5zpSvf__PLUS__uAgZw==&source=srp
Data Analyst,BrowserStack,"bi , spss , dashboards , sql , data visualization , data analytics , information management , sas , predictive analytics ,dataanalyst, infrastructure",https://www.timesjobs.com/job-detail/sales-data-analyst-browserstack-mumbai-9-to-12-yrs-jobid-IanXE1AdHf1zpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Impact Guru,"spss , sql , product analyst , sas , mobile , business analytics ,dataanalyst, tableau",https://www.timesjobs.com/job-detail/productanalyst-data-analyst-impact-guru-mumbai-1-to-4-yrs-jobid-2JQ__SLASH__J9DfEeRzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,teoco softwares pvt ltd,"business analytics ,dataanalyst, sql , alteryx , database , data science , visio , analyst , telecom , statistical analysis",https://www.timesjobs.com/job-detail/business-data-analyst-teoco-softwares-pvt-ltd-3-to-5-yrs-jobid-u__PLUS__9HK5oRokpzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,SEVEN CONSULTANCY,"data analytics , big data analytics , data mining , data reports ,dataanalyst, database , data science , data scientist , analyst",https://www.timesjobs.com/job-detail/senior-data-analyst-seven-consultancy-bengaluru-bangalore-0-to-3-yrs-jobid-okUgOcwl__PLUS__BVzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,SEVEN CONSULTANCY,"data analytics , big data analytics , data mining , data reports ,dataanalyst, database , data science , data scientist , analyst",https://www.timesjobs.com/job-detail/senior-data-analyst-seven-consultancy-delhi-delhi-ncr-0-to-3-yrs-jobid-7sr0sXxIVYxzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,SEVEN CONSULTANCY,"data analytics , big data analytics , data mining , data reports ,dataanalyst, database , data science , data scientist , analyst",https://www.timesjobs.com/job-detail/senior-data-analyst-seven-consultancy-mumbai-0-to-3-yrs-jobid-JTSfhuRl__PLUS__rpzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,SEVEN CONSULTANCY,"data analytics , big data analytics , data mining , data reports ,dataanalyst, database , data science , data scientist , analyst",https://www.timesjobs.com/job-detail/senior-data-analyst-seven-consultancy-chennai-4-to-7-yrs-jobid-R62cj9TrGWZzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,SEVEN CONSULTANCY,"data mining , spss , data warehousing , sql , data science , xml , data visualization , data analytics , data analysis , sas , information management , big data analytics ,dataanalyst, business objects , analyst",https://www.timesjobs.com/job-detail/senior-data-analyst-seven-consultancy-hyderabad-secunderabad-3-to-4-yrs-jobid-L4XsNKPMnypzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Sigmoid,"data analytics , data visualization , business intelligence , statistical / ml techniques , team management , san , advanced analytics , spotfire , bi ,dataanalyst, tableau , data science , client interaction , sql database",https://www.timesjobs.com/job-detail/senior-data-analyst-sigmoid-bengaluru-bangalore-3-to-6-yrs-jobid-OQO4j__SLASH__i53rdzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Peoplegrove,"data analysis , product strategy , metrics tracking , a / b testing , communication skills , measurement , building , design , engineering , designing",https://www.timesjobs.com/job-detail/peoplegrove-senior-data-analyst-peoplegrove-mumbai-5-to-8-yrs-jobid-60qNBm2YEvFzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,ebizon net info  ( p )  ltd,"data analytics , business analytics , sql , powerbi , statistical analysis , data mining , database , xml , sas , javascript",https://www.timesjobs.com/job-detail/data-analyst-powerbi-dehradun-ebizon-net-info-p-ltd-dehradun-2-to-5-yrs-jobid-HrSMB__SLASH__okgDZzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,krazy mantra hr solutions,"data warehouse , rdbms ( teradata / ms sql server / oracle / ibm db / mongo db ) , data lineage , data integrity , data analysis , ibm db2",https://www.timesjobs.com/job-detail/hiring-for-data-analyst-krazy-mantra-hr-solutions-pune-hyderabad-secunderabad-2-to-6-yrs-jobid-y9zVp9YQu7RzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Nielsen Research Ltd. Co.,"data analytics , sql , bi reporting , python , r , communication skills , data warehousing , satellite , big data , cloud services , reporting tools",https://www.timesjobs.com/job-detail/nielsen-data-analyst-analytics-nielsen-research-ltd-co-mumbai-5-to-8-yrs-jobid-fifoveKmQiZzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,LEPTON SOFTWARE,"rf planning & optimization , radio network design , data analysis , technical reporting , project management , mimo , atoll , ofdm , 4g , lte , mapinfo",https://www.timesjobs.com/job-detail/data-analyst-lepton-software-lepton-software-gurgaon-8-to-11-yrs-jobid-0CQwCiSWWyRzpSvf__PLUS__uAgZw==&source=srp
